epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7161,2.99316,176.1,0.83262,0.75385,0.69935,0.6849,0.1683,2.88389,0.98136,0.88133,0.070411,0.00328767,0.00328767
2,72.1701,3.105,1.44646,0.86299,0.77798,0.76725,0.74625,0.1714,3.20858,1.00686,0.95232,0.0403454,0.00655546,0.00655546
3,115.124,3.45369,1.6259,0.90992,0.50416,0.62136,0.4047,0.09863,3.32067,1.36829,0.94394,0.0102139,0.00975724,0.00975724
4,159.029,3.2245,1.20802,0.89025,0.80148,0.71569,0.74416,0.19797,2.74451,0.9465,0.88107,0.009703,0.009703,0.009703
5,201.425,2.87359,0.96311,0.88477,0.8538,0.85948,0.88453,0.29782,2.23243,0.7403,0.85627,0.009604,0.009604,0.009604
6,240.692,2.51025,0.89115,0.85502,0.84663,0.85948,0.8685,0.23405,2.63813,0.93087,0.86771,0.009505,0.009505,0.009505
7,272.238,2.4444,0.84879,0.85864,0.89319,0.88889,0.90223,0.33215,2.17769,0.73185,0.85889,0.009406,0.009406,0.009406
8,297.098,2.41605,0.84533,0.85672,0.85586,0.83438,0.87865,0.36944,1.95116,0.70945,0.84178,0.009307,0.009307,0.009307
9,321.938,2.32143,0.81793,0.83397,0.92119,0.88562,0.93896,0.39789,1.92761,0.65348,0.84671,0.009208,0.009208,0.009208
10,353.683,2.21316,0.78577,0.83805,0.94063,0.93205,0.96701,0.43726,1.89896,0.61782,0.8356,0.009109,0.009109,0.009109
11,391.931,2.21607,0.74114,0.84123,0.95674,0.93962,0.95995,0.40293,2.06226,0.64794,0.84708,0.00901,0.00901,0.00901
12,431.145,2.15298,0.71745,0.82933,0.95571,0.91677,0.96122,0.37183,2.18358,0.66474,0.84152,0.008911,0.008911,0.008911
